    0.218831941028830135E+00    0.261161740281717300E+03   -0.633820711571602136E+01   -0.444550873040175709E+01   -0.645948393976824153E+01   -0.539579680149461716E+01    0.343158528505342019E+04
    0.219198431589057080E+00    0.258686869073699256E+03   -0.693656891740983639E+01   -0.455029021946067846E+01   -0.644945576818354027E+01   -0.519121700064424729E+01    0.343348376975838300E+04
    0.217997049932681125E+00    0.274222656218935697E+03   -0.670936481437465826E+01   -0.382833762259453003E+01   -0.577779898994929120E+01   -0.488338116568564296E+01    0.343365033517659276E+04
    0.218483379643655107E+00    0.261807229928560275E+03   -0.678130121612404402E+01   -0.400283596724805335E+01   -0.736171979120582609E+01   -0.475067368689080993E+01    0.343381481302165594E+04
    0.218631109476002228E+00    0.262027339328479115E+03   -0.667101898962740947E+01   -0.409204850243646767E+01   -0.789955098847445569E+01   -0.544020036166815224E+01    0.343441508883782126E+04
    0.218269273501669858E+00    0.261144276901842204E+03   -0.656426070960864649E+01   -0.371211362139854195E+01   -0.696225985492331834E+01   -0.497060574261468346E+01    0.343467757617855659E+04
    0.218461332590706020E+00    0.281081601164128188E+03   -0.636013542153912326E+01   -0.426191119015856579E+01   -0.768890704878776976E+01   -0.613902578757612538E+01    0.343471298452293422E+04
    0.218827563422968552E+00    0.250444938229081060E+03   -0.579088999379385516E+01   -0.402734230542144456E+01   -0.581043159274497256E+01   -0.498727795226992576E+01    0.343475478657314397E+04
    0.218255836423335570E+00    0.270679325799073808E+03   -0.667877415335166535E+01   -0.379007923127172752E+01   -0.540663258811772351E+01   -0.474923927109008304E+01    0.343478562777734123E+04
    0.218473624709543263E+00    0.261086247185397269E+03   -0.636464719225840536E+01   -0.377454797047447865E+01   -0.753675292557120535E+01   -0.607082156242738513E+01    0.343484632174671151E+04
    0.219027521498047634E+00    0.271546900856794878E+03   -0.666028155876303352E+01   -0.421606813125853286E+01   -0.746213111357964820E+01   -0.654660297133374858E+01    0.343496357806014748E+04
    0.218321218325741750E+00    0.287368793394285092E+03   -0.658862366610056860E+01   -0.400371665994449710E+01   -0.697004429325036945E+01   -0.678215486952201463E+01    0.343510019219455580E+04
    0.218141018443536644E+00    0.264585385929508107E+03   -0.602021769987415745E+01   -0.358301534628722784E+01   -0.600819666431907073E+01   -0.522827636558343656E+01    0.343511747482798273E+04
    0.218666810006345746E+00    0.259557102745791610E+03   -0.627291150363835381E+01   -0.398645838125645913E+01   -0.790993482347886356E+01   -0.624816108051626085E+01    0.343512925788702432E+04
    0.218182040445050990E+00    0.261483903885574989E+03   -0.630239856479006377E+01   -0.361114135501676259E+01   -0.579195461198871175E+01   -0.462655242933653188E+01    0.343524667621322124E+04
