Nested Sampling Global Log-Evidence           :    0.342788139710830455E+04  +/-    0.160868861432606064E+00

Dim No.       Mean        Sigma
   1    0.218832448213374442E+00    0.211104133064954715E-03
   2    0.258603686184550327E+03    0.702656691267058164E+01
   3   -0.663587507536852872E+01    0.233864410187674371E+00
   4   -0.402577387132415687E+01    0.146860239647509383E+00
   5   -0.611928686359370388E+01    0.537861819239266126E+00
   6   -0.623012667673376352E+01    0.502594762109239812E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.219004397938772605E+00
   2    0.250188357966477497E+03
   3   -0.675892554781316157E+01
   4   -0.396064237559768273E+01
   5   -0.599153694924591473E+01
   6   -0.682399315401062712E+01

MAP Parameters
Dim No.        Parameter
   1    0.219004397938772605E+00
   2    0.250188357966477497E+03
   3   -0.675892554781316157E+01
   4   -0.396064237559768273E+01
   5   -0.599153694924591473E+01
   6   -0.682399315401062712E+01
