Nested Sampling Global Log-Evidence           :    0.368309351158285563E+04  +/-    0.174894953299582212E+00

Dim No.       Mean        Sigma
   1    0.218216559565687640E+00    0.149604675642895621E-03
   2    0.254548457423695169E+03    0.386294416174731303E+01
   3   -0.554320331865567884E+01    0.341169289033667278E+00
   4   -0.181325905063436377E+01    0.843730139515225797E-01
   5   -0.275461194615721316E+01    0.219526775235817623E+00
   6   -0.447485822355000717E+01    0.775220867677898218E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.218315092778403386E+00
   2    0.250206607589877478E+03
   3   -0.540920968313323680E+01
   4   -0.178575753347573496E+01
   5   -0.276857818770206698E+01
   6   -0.413699912978541740E+01

MAP Parameters
Dim No.        Parameter
   1    0.218315092778403386E+00
   2    0.250206607589877478E+03
   3   -0.540920968313323680E+01
   4   -0.178575753347573496E+01
   5   -0.276857818770206698E+01
   6   -0.413699912978541740E+01
