Nested Sampling Global Log-Evidence           :    0.342618858210860844E+04  +/-    0.153526753962148099E+00

Dim No.       Mean        Sigma
   1    0.218546647259547588E+00    0.421460997794737642E-03
   2    0.270606693641155857E+03    0.149327653923699319E+02
   3   -0.579900804025493866E+01    0.585116712673420247E+00
   4   -0.198774529385455745E+01    0.176079216626643525E+00
   5   -0.207241241093722550E+01    0.232144319202125665E+00
   6   -0.523349400030666612E+01    0.105392045491838848E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.218780930623912101E+00
   2    0.256079931357441978E+03
   3   -0.579631649655123571E+01
   4   -0.202344760601177853E+01
   5   -0.210788082941385024E+01
   6   -0.578276655097923609E+01

MAP Parameters
Dim No.        Parameter
   1    0.218780930623912101E+00
   2    0.256079931357441978E+03
   3   -0.579631649655123571E+01
   4   -0.202344760601177853E+01
   5   -0.210788082941385024E+01
   6   -0.578276655097923609E+01
