    0.249812650207460629E+00    0.418321812152862549E+03   -0.425946784019470215E+01   -0.332009524106979370E+01   -0.373561769723892212E+01   -0.222273838520050049E+01    0.197471487522125233E+00    0.616623163223266602E-01    0.290441293716430664E+04    0.350948063433170319E+04    0.334455956816673279E+04   -0.238952545405740413E+06   -0.621460743175560815E+01    1
    0.248442651968015626E+00    0.444882035255432129E+03   -0.268531036376953125E+01   -0.263992613554000854E+01   -0.693540883064270020E+01   -0.411497187614440918E+01    0.114712482690811149E+00    0.150987362861633306E+00    0.281217152774333954E+04    0.354161767363548279E+04    0.347547269463539124E+04   -0.237961507091688953E+06   -0.621660743175561681E+01    1
    0.252463413340262233E+00    0.297817385196685791E+03   -0.430963557958602905E+01   -0.168981719017028809E+01   -0.903042596578598022E+01   -0.213902544975280762E+01    0.284418565034866344E+00    0.170614480972290060E-01    0.310403061509132385E+04    0.353243761658668518E+04    0.345245827436447144E+04   -0.232917309418318473E+06   -0.621860743175561392E+01    1
    0.248068291207917624E+00    0.404870462417602539E+03   -0.220034104585647583E+01   -0.204737961292266846E+01   -0.215390884876251221E+01   -0.562434178590774536E+01    0.188048619031906117E+00    0.181898355484008789E+00    0.294640398919582367E+04    0.351233011484146118E+04    0.348087164163589478E+04   -0.228087253878252552E+06   -0.622060743175561814E+01    1
    0.251421166758677428E+00    0.428759050369262695E+03   -0.315268349647521973E+01   -0.708827477693557739E+01   -0.234727519750595093E+01   -0.445184242725372314E+01    0.145879787206649764E+00    0.896626234054565541E-01    0.299590591490268707E+04    0.364834765195846558E+04    0.346191839575767517E+04   -0.216066631226022844E+06   -0.622260743175562414E+01    1
    0.246936650315521311E+00    0.329889476299285889E+03   -0.562916022539138794E+01   -0.536567610502243042E+01   -0.174507635831832886E+01   -0.259217035770416260E+01    0.292332208156585671E+00    0.296830677986145042E+00    0.305278386473655701E+04    0.363570502400398254E+04    0.363183583617210434E+04   -0.195903682877594751E+06   -0.622460743175562925E+01    1
    0.246543554832050760E+00    0.314265406131744385E+03   -0.255458486080169678E+01   -0.780108273029327393E+01   -0.178167402744293213E+01   -0.589297574758529663E+01    0.272199100255966164E+00    0.139329433441162109E-01    0.283199255466461182E+04    0.353116296827793121E+04    0.333899556398391724E+04   -0.193005057357035694E+06   -0.622660743175562548E+01    1
    0.248643995280706354E+00    0.399963319301605225E+03   -0.352811944484710693E+01   -0.794930332899093628E+01   -0.267975646257400513E+01   -0.623955082893371582E+01    0.270424818992614724E+00    0.129547762870788591E+00    0.283896186053752899E+04    0.350638248622417450E+04    0.322204695940017700E+04   -0.188644500341459236E+06   -0.622860743175562526E+01    1
    0.239398570261085381E+00    0.420807898044586182E+03   -0.404429000616073608E+01   -0.742963773012161255E+01   -0.842292386293411255E+01   -0.288742583990097046E+01    0.262483066320419289E+00    0.173363876342773449E+00    0.288579333126544952E+04    0.364814601242542267E+04    0.356478673815727279E+04   -0.183438138159362250E+06   -0.623060743175562948E+01    1
    0.243901770390018924E+00    0.362031793594360352E+03   -0.513276529312133789E+01   -0.266246628761291504E+01   -0.675091308355331421E+01   -0.586908978223800659E+01    0.254537326097488414E+00    0.588773965835571317E-01    0.294198485016822815E+04    0.357613113224506378E+04    0.342407882809638977E+04   -0.183040630775272817E+06   -0.623260743175562393E+01    1
    0.248235776965209209E+00    0.412840056419372559E+03   -0.541477870941162109E+01   -0.290329873561859131E+01   -0.239458185434341431E+01   -0.539369893074035645E+01    0.146177047491073603E+00    0.830292701721191406E-01    0.312645563185214996E+04    0.354469808340072632E+04    0.349891861677169800E+04   -0.175387809118888108E+06   -0.623460743175563081E+01    1
    0.243945293680737252E+00    0.389313066005706787E+03   -0.339000892639160156E+01   -0.622337639331817627E+01   -0.319304758310317993E+01   -0.375100564956665039E+01    0.179868113994598372E+00    0.355414772033691428E+00    0.280739565491676331E+04    0.363658822178840637E+04    0.357088238000869796E+04   -0.172357863930697989E+06   -0.623660743175562082E+01    1
    0.250890807626155343E+00    0.304686403274536133E+03   -0.297398519515991211E+01   -0.241824799776077271E+01   -0.680915832519531250E+01   -0.531962883472442627E+01    0.200085604190826410E+00    0.424540042877197266E-01    0.300970348119735718E+04    0.356638276875019073E+04    0.325676333308219910E+04   -0.170898309223338321E+06   -0.623860743175562416E+01    1
    0.250883642732996348E+00    0.371641242504119873E+03   -0.486265164613723755E+01   -0.259697246551513672E+01   -0.999560868740081787E+01   -0.361320388317108154E+01    0.411244690418243394E-01    0.323932504653930697E+00    0.293072616457939148E+04    0.353443846404552460E+04    0.352870605587959290E+04   -0.168974890654857125E+06   -0.624060743175563726E+01    1
    0.243457189750993591E+00    0.302217876911163330E+03   -0.509258550405502319E+01   -0.234648984670639038E+01   -0.789889210462570190E+01   -0.442296904325485229E+01    0.297310423851013195E+00    0.229017329216003429E+00    0.280684434473514557E+04    0.354818288087844849E+04    0.337330809831619263E+04   -0.166258196884193138E+06   -0.624260743175562549E+01    1
    0.249718105025512338E+00    0.326033759117126465E+03   -0.324781936407089233E+01   -0.755732464790344238E+01   -0.854912877082824707E+01   -0.317853045463562012E+01    0.267651969194412198E+00    0.155139565467834473E+00    0.314723860919475555E+04    0.355662685036659241E+04    0.341528339982032776E+04   -0.162588561573474028E+06   -0.624460743175562794E+01    1
    0.252118014452402062E+00    0.421079051494598389E+03   -0.581121546030044556E+01   -0.263319325447082520E+01   -0.965723085403442383E+01   -0.497022879123687744E+01    0.276479601860046380E-01    0.204474782943725591E+00    0.284924476444721222E+04    0.352226298749446869E+04    0.337207371592521667E+04   -0.160503802446293266E+06   -0.624660743175561439E+01    1
    0.248427576247615245E+00    0.285336756706237793E+03   -0.677507412433624268E+01   -0.708278107643127441E+01   -0.599798965454101562E+01   -0.428803515434265137E+01    0.221373224258422846E+00    0.468981027603149470E-01    0.290605076253414154E+04    0.362131975591182709E+04    0.345552255511283875E+04   -0.160223425914049061E+06   -0.624860743175559463E+01    1
    0.246302943978879696E+00    0.351298189163208008E+03   -0.689146739244461060E+01   -0.523113739490509033E+01   -0.674146741628646851E+01   -0.361804080009460449E+01    0.184159451723098749E+00    0.187319660186767600E+00    0.281872606277465820E+04    0.364778689146041870E+04    0.355386563539505050E+04   -0.158165718573297345E+06   -0.625060743175561750E+01    1
    0.246128073474173231E+00    0.342951643466949463E+03   -0.354474198818206787E+01   -0.157831513881683350E+01   -0.868109935522079468E+01   -0.489499312639236450E+01    0.208703935146331787E+00    0.183470082283020031E+00    0.300108026564121246E+04    0.353123480677604675E+04    0.342599288225173950E+04   -0.157384595107716508E+06   -0.625260743175562173E+01    1
    0.245927876544387941E+00    0.325708568096160889E+03   -0.517243725061416626E+01   -0.274087136983871460E+01   -0.608788549900054932E+01   -0.233999711275100708E+01    0.180792206525802607E+00    0.134477615356445326E-02    0.284535955786705017E+04    0.362137443721294403E+04    0.321001338958740234E+04   -0.154402171024220181E+06   -0.625460743175560463E+01    1
