Nested Sampling Global Log-Evidence           :    0.323312717545454643E+04  +/-    0.152414776304438809E+00

Dim No.       Mean        Sigma
   1    0.217879543137967285E+00    0.379747102321299811E-03
   2    0.263271901620767323E+03    0.964357047055407612E+01
   3   -0.472738809819499206E+01    0.286585759896452685E+00
   4   -0.226554356235282928E+01    0.202052514591203075E+00
   5   -0.413945531629957841E+01    0.499697247720253257E+00
   6   -0.539853624352459782E+01    0.935309918145236119E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.218136300719802945E+00
   2    0.255110470472331201E+03
   3   -0.484564800151829189E+01
   4   -0.228597927254334632E+01
   5   -0.413457292211864491E+01
   6   -0.566551187355932129E+01

MAP Parameters
Dim No.        Parameter
   1    0.218136300719802945E+00
   2    0.255110470472331201E+03
   3   -0.484564800151829189E+01
   4   -0.228597927254334632E+01
   5   -0.413457292211864491E+01
   6   -0.566551187355932129E+01
