    0.251002615293155817E+00    0.434025728702545166E+03   -0.281495344638824463E+01   -0.125947022438049316E+01   -0.319123065471649170E+01   -0.688466024398803711E+01   -0.701612908700193162E+06   -0.621460743175560815E+01    1
    0.251183362973237123E+00    0.411091077327728271E+03   -0.369286280870437622E+01   -0.539361858367919922E+01   -0.772971284389495850E+01   -0.352672052383422852E+01   -0.684239036870654090E+06   -0.621660743175561681E+01    1
    0.247430446900103629E+00    0.427676069736480713E+03   -0.202484112977981567E+01   -0.586468827724456787E+01   -0.541177624464035034E+01   -0.675228101015090942E+01   -0.679208166843700456E+06   -0.621860743175561392E+01    1
    0.247326907323510203E+00    0.441756510734558105E+03   -0.399328631162643433E+01   -0.285145050287246704E+01   -0.279773932695388794E+01   -0.243812632560729980E+01   -0.650963907898224657E+06   -0.622060743175561814E+01    1
    0.247577941623989328E+00    0.439610373973846436E+03   -0.299419087171554565E+01   -0.661004662513732910E+01   -0.859978497028350830E+01   -0.438417565822601318E+01   -0.647733880112652318E+06   -0.622260743175562414E+01    1
    0.250250886480817447E+00    0.378915476799011230E+03   -0.622669351100921631E+01   -0.205305939912796021E+01   -0.877382439374923706E+01   -0.497348588705062866E+01   -0.647018787575329072E+06   -0.622460743175562925E+01    1
    0.247588577073615534E+00    0.446598803997039795E+03   -0.391939741373062134E+01   -0.331296014785766602E+01   -0.281152909994125366E+01   -0.557054233551025391E+01   -0.645695242940690485E+06   -0.622660743175562548E+01    1
    0.251534368144621157E+00    0.344517683982849121E+03   -0.445898723602294922E+01   -0.244244331121444702E+01   -0.735870969295501709E+01   -0.591370505094528198E+01   -0.639987846664365381E+06   -0.622860743175562526E+01    1
    0.252069732887432396E+00    0.434903430938720703E+03   -0.456168723106384277E+01   -0.611153846979141235E+01   -0.754639405012130737E+01   -0.559722942113876343E+01   -0.628906354512374266E+06   -0.623060743175562948E+01    1
    0.252311929832020554E+00    0.357436084747314453E+03   -0.623767268657684326E+01   -0.366891539096832275E+01   -0.846302449703216553E+01   -0.211577904224395752E+01   -0.627581105490902788E+06   -0.623260743175562393E+01    1
