wl_um,half_bin_um,clean_binned,model_binned,err_obs,residual,chi2_contrib
0.6988053,0.003314901,0.0023839395910903714,0.002365690862001654,6.241322e-05,-1.8248729088717573e-05,0.08548936074072717
0.7054351,0.003355033,0.002383771399894503,0.002364880693448736,5.782405e-05,-1.889070644576704e-05,0.10672824934567127
0.7122254,0.003436179,0.0023833133419881533,0.0023639871764451806,5.595045e-05,-1.9326165542972625e-05,0.11931202668446565
0.7191798,0.003522956,0.0023857950441844035,0.0023639111994243,5.375054e-05,-2.1883844760103334e-05,0.16576070577462276
0.7263173,0.003616101,0.0023863351737398817,0.0023638323792547706,4.930886e-05,-2.2502794485111145e-05,0.2082682097088441
0.7336442,0.003707605,0.002383688722239469,0.0023629210914200343,4.465629e-05,-2.0767630819434543e-05,0.21627615038991116
0.7411477,0.003802782,0.0023802304261043078,0.0023614696944484603,4.158879e-05,-1.8760731655847497e-05,0.2034918279755007
0.7488554,0.003904048,0.00237837326399405,0.0023601729426928585,3.977376e-05,-1.8200321301191716e-05,0.20939427915913444
0.7567639,0.004004996,0.0023776596018997803,0.002359060704370354,3.918121e-05,-1.8598897529426093e-05,0.22532984385351712
0.7648754,0.00411168,0.00237716111490088,0.002357659761084367,3.976653e-05,-1.9501353816512874e-05,0.24048839887251444
0.7732106,0.004221667,0.0023766596107898793,0.0023565451317075757,3.9915e-05,-2.0114479082303672e-05,0.2539483015164158
0.781762,0.004333283,0.00237718496724709,0.0023561056885193403,3.832812e-05,-2.1079278727749885e-05,0.30246592677393136
0.7905437,0.004451569,0.002378897113150631,0.002355859228540917,3.640578e-05,-2.3037884609713663e-05,0.40044651342417853
0.7995683,0.004570835,0.0023784031282423016,0.0023554494408041604,3.503254e-05,-2.295368743814117e-05,0.42930077643551084
0.8088271,0.004693377,0.0023783546766600167,0.0023553978284698144,3.40907e-05,-2.2956848190202293e-05,0.45347430811711953
0.8183418,0.004823576,0.0023802745854994553,0.0023572812168987803,3.338657e-05,-2.2993368600674954e-05,0.4743092512015842
0.8281214,0.004955354,0.00238608574938002,0.0023653708883526175,3.317843e-05,-2.071486102740239e-05,0.38980946967380226
0.8381632,0.005088903,0.00242777236290212,0.0023827249356963612,3.356483e-05,-4.504742720575893e-05,1.8012379170011912
0.848477,0.005227099,0.0024378416699234306,0.0024041803450372584,3.357871e-05,-3.366132488617215e-05,1.0049267238874457
0.8590716,0.005369522,0.002438898040545917,0.0024264413495185253,3.296471e-05,-1.2456691027391657e-05,0.1427929828906881
0.8699551,0.005515737,0.002440769332571164,0.00244356797045905,3.198163e-05,2.798637887886212e-06,0.00765759211064213
0.8811346,0.005665333,0.002445607325606941,0.002458635079901744,3.088863e-05,1.3027754294802924e-05,0.17788602279961346
0.8926164,0.005817862,0.0024680519669490228,0.0024631942586102054,2.995322e-05,-4.857708338817327e-06,0.026301216670237753
0.904406,0.005972854,0.00246762985446292,0.0024462434411411096,2.906903e-05,-2.1386413321810346e-05,0.541271090159077
0.9165078,0.00612988,0.00242928060997031,0.0024160656705962172,2.827139e-05,-1.3214939374092943e-05,0.21849224486626911
0.9289255,0.006293065,0.0024078162566750724,0.0023931598561069737,2.767934e-05,-1.46564005680987e-05,0.28037752082550627
0.9416801,0.006458096,0.0024108988621309967,0.002389906995785287,2.70499e-05,-2.0991866345709733e-05,0.6022416361805109
0.9547579,0.006621378,0.00242540524479989,0.002407501140468395,2.633608e-05,-1.7904104331494843e-05,0.46217125874570847
0.9681656,0.006789474,0.0024408235447084805,0.002432827614212398,2.564601e-05,-7.99593049608232e-06,0.0972071938556893
0.9819158,0.006958149,0.0024512787576490285,0.002450350785423807,2.495184e-05,-9.279722252212956e-07,0.0013831357337663497
