planet_name,model_name,N,p,dof,MSE,chi2,chi2_reduced
K2-18b,contam_1T_0spot-1fac,385,11,374,7.534026129e-08,18187.12164,48.62866748
K2-18b,contam_1T_0spot-1fac,385,11,374,1.632777723e-07,60934.03446,162.9252258
