5.2975687981e+00 3.7289850879e-03 2.4125408381e-03 4.2824300181e-05
5.2901110649e+00 3.7322209682e-03 2.4196091108e-03 4.2154169932e-05
5.2826399803e+00 3.7381350994e-03 2.4161252659e-03 4.2027870222e-05
5.2751579285e+00 3.7438978907e-03 2.4212663993e-03 4.2630119424e-05
5.2676639557e+00 3.7499859463e-03 2.4329035077e-03 4.2591531383e-05
5.2601580620e+00 3.7558719050e-03 2.4228421971e-03 4.1305309423e-05
5.2526412010e+00 3.7618579809e-03 2.4233991280e-03 4.0216709749e-05
5.2451109886e+00 3.7681059912e-03 2.4225146044e-03 3.9500249841e-05
5.2375679016e+00 3.7739889231e-03 2.4210372940e-03 3.9113871026e-05
5.2300148010e+00 3.7802129518e-03 2.4193539284e-03 3.9639890019e-05
5.2224478722e+00 3.7864670157e-03 2.4305363186e-03 4.0630078729e-05
5.2148690224e+00 3.7922600750e-03 2.4353130721e-03 4.0218430513e-05
5.2072792053e+00 3.7985779345e-03 2.4231215939e-03 3.9105179894e-05
5.1996750832e+00 3.8046950940e-03 2.4186081719e-03 3.8503851101e-05
5.1920599937e+00 3.8109358866e-03 2.4110376835e-03 3.8093188778e-05
5.1844310760e+00 3.8173340727e-03 2.4226093665e-03 3.7845591578e-05
5.1767902374e+00 3.8234260865e-03 2.4375326466e-03 3.7699588574e-05
5.1691370010e+00 3.8298850413e-03 2.4364944547e-03 3.7756821257e-05
5.1614708900e+00 3.8362189662e-03 2.4158896413e-03 3.7641850213e-05
5.1537928581e+00 3.8424390368e-03 2.4102721363e-03 3.7297748349e-05
5.1461009979e+00 3.8489541039e-03 2.4160372559e-03 3.7064830394e-05
5.1383972168e+00 3.8552288897e-03 2.4140765890e-03 3.6693021684e-05
5.1306800842e+00 3.8618110120e-03 2.3993658833e-03 3.6502009607e-05
5.1229491234e+00 3.8682990707e-03 2.4126097560e-03 3.6385481508e-05
5.1152071953e+00 3.8746970240e-03 2.4050767533e-03 3.6075551179e-05
5.1074509621e+00 3.8813881110e-03 2.4107499048e-03 3.5915141780e-05
5.0996818542e+00 3.8877360057e-03 2.4090539664e-03 3.6005629227e-05
5.0918998718e+00 3.8944580592e-03 2.4070441723e-03 3.5923698306e-05
5.0841040611e+00 3.9009780157e-03 2.4051012006e-03 3.5596309317e-05
5.0762958527e+00 3.9076912217e-03 2.4036283139e-03 3.5240438592e-05
5.0684728622e+00 3.9145019837e-03 2.4038250558e-03 3.5084369301e-05
5.0606379509e+00 3.9210608229e-03 2.4010215420e-03 3.5190270864e-05
5.0527892113e+00 3.9278632030e-03 2.4088378996e-03 3.4878401493e-05
5.0449261665e+00 3.9345240220e-03 2.3969728500e-03 3.4334279917e-05
5.0370512009e+00 3.9414297789e-03 2.3949344177e-03 3.4057218727e-05
5.0291609764e+00 3.9481851272e-03 2.3973532952e-03 3.3953328966e-05
5.0212578773e+00 3.9550848305e-03 2.4046269245e-03 3.3909731428e-05
5.0133399963e+00 3.9620958269e-03 2.3965667933e-03 3.3848969906e-05
5.0054087639e+00 3.9689340629e-03 2.3924235720e-03 3.3638170862e-05
4.9974651337e+00 3.9759688079e-03 2.3957521189e-03 3.3317821362e-05
4.9895057678e+00 3.9828540757e-03 2.3969255853e-03 3.3071348298e-05
4.9815330505e+00 3.9899582043e-03 2.3943567649e-03 3.3072930819e-05
4.9735460281e+00 3.9969650097e-03 2.3932999466e-03 3.3199001336e-05
4.9655451775e+00 4.0041161701e-03 2.3899222724e-03 3.3147738577e-05
4.9575290680e+00 4.0111728013e-03 2.3950808682e-03 3.2901549275e-05
4.9495010376e+00 4.0183807723e-03 2.3996024393e-03 3.2551910408e-05
4.9414558411e+00 4.0256101638e-03 2.3976538796e-03 3.2486808777e-05
4.9333977699e+00 4.0328251198e-03 2.3998753168e-03 3.2685711631e-05
4.9253239632e+00 4.0401248261e-03 2.4050152861e-03 3.2522748370e-05
4.9172382355e+00 4.0473667905e-03 2.4094886612e-03 3.2129621104e-05
4.9091348648e+00 4.0547400713e-03 2.4195197038e-03 3.2036728953e-05
4.9010190964e+00 4.0620709769e-03 2.4170682300e-03 3.2110488974e-05
4.8928871155e+00 4.0695159696e-03 2.4169546086e-03 3.1968091207e-05
4.8847408295e+00 4.0769381449e-03 2.4218827020e-03 3.1720850529e-05
4.8765788078e+00 4.0844581090e-03 2.4302536622e-03 3.1613060855e-05
4.8684029579e+00 4.0919100866e-03 2.4266371038e-03 3.1589028367e-05
4.8602108955e+00 4.0995050222e-03 2.4333717301e-03 3.1547569961e-05
4.8520050049e+00 4.1070990264e-03 2.4271567818e-03 3.1287170714e-05
4.8437829018e+00 4.1146758012e-03 2.4382451084e-03 3.0953080568e-05
4.8355460167e+00 4.1223601438e-03 2.4251081049e-03 3.0900650017e-05
4.8272929192e+00 4.1301092133e-03 2.4317905772e-03 3.0928538763e-05
4.8190259933e+00 4.1378289461e-03 2.4301263038e-03 3.0894359952e-05
4.8107419014e+00 4.1455598548e-03 2.4651677813e-03 3.1061539630e-05
4.8024430275e+00 4.1534379125e-03 2.4282215163e-03 3.1108018447e-05
4.7941279411e+00 4.1613429785e-03 2.4231774732e-03 3.0921939469e-05
4.7857980728e+00 4.1692559607e-03 2.4226352107e-03 3.0965409678e-05
4.7774510384e+00 4.1771461256e-03 2.4466582108e-03 3.0987241189e-05
4.7690892220e+00 4.1851401329e-03 2.4183413479e-03 3.0774219340e-05
4.7607111931e+00 4.1931099258e-03 2.4163951166e-03 3.0518651329e-05
4.7523169518e+00 4.2012049817e-03 2.4249120615e-03 3.0093840905e-05
4.7439060211e+00 4.2092557997e-03 2.4348101579e-03 2.9691320378e-05
4.7354798317e+00 4.2174519040e-03 2.4271651637e-03 2.9694499972e-05
